Post,Post ID,Lead
"People run ads but they never know the how the algorithm works and how can we create good result.  Ads are all about plan, try , test and win.  If you are the one who is still thinking about it, come  on ladies, start taking action.  ITS YOUR TIME TO LEARN FOR YOURSELF  LEARN FOR INDEPENDENT YOU 
  Fill the form now  https://bit.ly/4eMxBXE",:R2l9mlanlelat5bb9l5pd3iliqalH2:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
"People run ads but they never know the how the algorithm works and how can we create good result.  Ads are all about plan, try , test and win.  If you are the one who is still thinking about it, come  on ladies, start taking action.  ITS YOUR TIME TO LEARN FOR YOURSELF  LEARN FOR INDEPENDENT YOU 
  Fill the form now  https://bit.ly/4eMxBXE",:R2l9mlanlelat5bb9l5pd3iliqalH2:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
"People run ads but they never know the how the algorithm works and how can we create good result.  Ads are all about plan, try , test and win.  If you are the one who is still thinking about it, come  on ladies, start taking action.  ITS YOUR TIME TO LEARN FOR YOURSELF  LEARN FOR INDEPENDENT YOU 
  Fill the form now  https://bit.ly/4eMxBXE",:R2l9mlanlelat5bb9l5pd3iliqalH2:,No
"Suggest some good hair deal including hair dye, rebonding , and  blow dry ",:abkc:,Yes
I�m thinking about highlights. Which salons offer good packages?,:fgrt:,Yes
Any recommendations for salons specializing in fashion hair dye?,:opiu:,Yes
What are the best salons for trendy haircuts and styling?,:hgfs:,Yes
Suggest some good salons for pre-wedding facials and makeup.,:bvfd:,Yes
"Girls please help me out.  What to gift my husband (nikkahfied + he lives abroad) at our 1st nikkah anniversary??  I have given him almost every possible thing in the past, that’s why running out of ideas! Budget 30k.  Customisation stuff walay log dooooor rahyn!",:r52:,No
Please suggest me good body wash with long lasting fragrance  Husband k any tak koi fragrance he nhi rahti I want k achi smell aye raat tak na shampoo me achi smell rahti hain na body me.  Currently using Pakistani brand local soap and shampoo by himani by WB.  I was using dove that was awsome but Israel ka to use karna chor deya.  Please help,:r5t:,No
"Hello Everyone! I'm looking for a tumbler - one with a handle and straw (pictures attached for reference). However, my budget is kinda low. Max 2000-2200. The tumbler doesn't necessarily need to be a stanley quencher, a simple stainless steel vaccum tumbler can do. Please suggest reliable pages from where I can buy this within my range. Thanks!",:r6n:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
Hey urgent suggestions needed!  I need beach style shirts (wearable on jeans) before saturday. Please suggest something.  Should not cost me an arm or leg xd,:r8c:,No
I�m thinking about trying a gold facial. Suggestions?,:vsad:,Yes
I�m attending a big event. What are the best salons for glam makeup?,:iuyt:,Yes
Recommendations for salons specializing in professional photo shoot makeup?,:qwer:,Yes
Need quick makeup for a casual outing. Suggestions?,:sdef:,Yes
I need a salon for subtle makeup for an office event.,:mcxz:,Yes
A friend of mine is looking for full time house help lady for her toddlers Location : Gujranwala  Please comment if u know anyone,:rlr:,No
"Hi! I currently run an online page that my husband and I manage together, and it serves as our primary source of income. However, I’m looking to start a small side business to earn some extra pocket money. I also have another page with about 3,000 followers, which I want to grow. Could you suggest some unique product ideas I can sell online and guide me on their wholesale markets? My goal is to make around 20k per month, so it doesn’t have to be something big. Thank you!",:rp6:,No
"I have a functions coming up and I want to go for soft party makeup with hairdo, please suggest which ones good also pour your reviews as well. Thanks!  Admin please approve my post thanks",:rq9:,No
"Hey admin, posting again , I don't know y my pending post gets disappeared!! What should one ask from a guy(from arranged proposal) on first(probably last before engagement) meetup???",:r2:,No
Hi beautiful ladies anyone here from Barcelona (Spain) actually me and my family going to shift in Barcelona in March so mujy thori info chahiy thee wahan Pakistani Muslims communities kesi Hain or  muslim bacho k schools systems ka kia scen hy plz agar koi agar ap main sy waha rah raha to do lete know about this than you,:rse:,No
"Can anyone plz guide me about Amazon VA course? Kindly suggest me the better institute to learn Amazon VA in Karachi with reasonable fees , and they also provide working opportunities, actually I'm facing some financial issues,my father is retired ,all my expenses including studies i endure all my expenses myself.",:rt1:,No
